title,actor_1,actor_2,actor_3,director,genres,all_info
gossip,Norman Reedus,Sharon Lawrence,Noam Jenkins,Davis Guggenheim,Drama Mystery Thriller,Norman Reedus Sharon Lawrence Noam Jenkins Davis Guggenheim Drama Mystery Thriller
a walk on the moon,Viggo Mortensen,Julie Kavner,Tovah Feldshuh,Tony Goldwyn,Drama,Viggo Mortensen Julie Kavner Tovah Feldshuh Tony Goldwyn Drama
catch a fire,Derek Luke,Terry Pheto,Bonnie Henna,Phillip Noyce,Biography Drama History,Derek Luke Terry Pheto Bonnie Henna Phillip Noyce Biography Drama History
soul survivors,Melissa Sagemiller,Angela Featherstone,Candace Kroslak,Stephen Carpenter,Drama Horror Mystery Thriller,Melissa Sagemiller Angela Featherstone Candace Kroslak Stephen Carpenter Drama Horror Mystery Thriller
jefferson in paris,Seth Gilliam,Todd Boyce,Nigel Whitmey,James Ivory,Biography Drama History Romance,Seth Gilliam Todd Boyce Nigel Whitmey James Ivory Biography Drama History Romance
easy virtue,Colin Firth,Kristin Scott Thomas,Kris Marshall,Stephan Elliott,Comedy Romance,Colin Firth Kristin Scott Thomas Kris Marshall Stephan Elliott Comedy Romance
caravans,Christopher Lee,Joseph Cotten,Behrouz Vossoughi,James Fargo,Action Adventure History,Christopher Lee Joseph Cotten Behrouz Vossoughi James Fargo Action Adventure History
mr. turner,Lesley Manville,Ruth Sheen,Karl Johnson,Mike Leigh,Biography Drama History,Lesley Manville Ruth Sheen Karl Johnson Mike Leigh Biography Drama History
wild grass,Mathieu Amalric,Sara Forestier,Edouard Baer,Alain Resnais,Drama Romance,Mathieu Amalric Sara Forestier Edouard Baer Alain Resnais Drama Romance
amen.,Sebastian Koch,Mathieu Kassovitz,Ulrich Mühe,Costa-Gavras,Biography Crime Drama War,Sebastian Koch Mathieu Kassovitz Ulrich Mühe Costa-Gavras Biography Crime Drama War
reign of assassins,Woo-sung Jung,Shawn Yue,Kelly Lin,Chao-Bin Su,Action,Woo-sung Jung Shawn Yue Kelly Lin Chao-Bin Su Action
the lucky ones,John Heard,Katherine LaNasa,Mark L. Young,Neil Burger,Comedy Drama War,John Heard Katherine LaNasa Mark L. Young Neil Burger Comedy Drama War
margaret,Matt Damon,Kieran Culkin,John Gallagher Jr.,Kenneth Lonergan,Drama,Matt Damon Kieran Culkin John Gallagher Jr. Kenneth Lonergan Drama
stan helsing,Steve Howey,Kenan Thompson,Diora Baird,Bo Zenga,Comedy Horror,Steve Howey Kenan Thompson Diora Baird Bo Zenga Comedy Horror
flipped,Madeline Carroll,Rebecca De Mornay,Aidan Quinn,Rob Reiner,Comedy Drama Romance,Madeline Carroll Rebecca De Mornay Aidan Quinn Rob Reiner Comedy Drama Romance
brokeback mountain,Jake Gyllenhaal,Heath Ledger,Anne Hathaway,Ang Lee,Drama Romance,Jake Gyllenhaal Heath Ledger Anne Hathaway Ang Lee Drama Romance
clueless,Donald Faison,Dan Hedaya,Elisa Donovan,Amy Heckerling,Comedy Romance,Donald Faison Dan Hedaya Elisa Donovan Amy Heckerling Comedy Romance
far from heaven,Dennis Quaid,Celia Weston,Michael Gaston,Todd Haynes,Drama Romance,Dennis Quaid Celia Weston Michael Gaston Todd Haynes Drama Romance
hot tub time machine 2,Adam Scott,Gillian Jacobs,Collette Wolfe,Steve Pink,Comedy Science Fiction,Adam Scott Gillian Jacobs Collette Wolfe Steve Pink Comedy Science Fiction
dekalog,Krystyna Janda,Olaf Lubaszenko,Olgierd Lukaszewicz,unknown,Drama,Krystyna Janda Olaf Lubaszenko Olgierd Lukaszewicz unknown Drama
quills,Kate Winslet,Stephen Marcus,Amelia Warner,Philip Kaufman,Biography Drama,Kate Winslet Stephen Marcus Amelia Warner Philip Kaufman Biography Drama
seven psychopaths,Abbie Cornish,Gabourey Sidibe,Michael Stuhlbarg,Martin McDonagh,Comedy Crime,Abbie Cornish Gabourey Sidibe Michael Stuhlbarg Martin McDonagh Comedy Crime
the caveman's valentine,Colm Feore,Tamara Tunie,Aunjanue Ellis,Kasi Lemmons,Crime Drama Music Mystery Thriller,Colm Feore Tamara Tunie Aunjanue Ellis Kasi Lemmons Crime Drama Music Mystery Thriller
the border,Jacek Koman,Marian Dziedziel,Jaroslaw Boberek,unknown,Action Crime Drama Thriller,Jacek Koman Marian Dziedziel Jaroslaw Boberek unknown Action Crime Drama Thriller
downfall,Thomas Kretschmann,Bruno Ganz,Alexandra Maria Lara,Oliver Hirschbiegel,Biography Drama History War,Thomas Kretschmann Bruno Ganz Alexandra Maria Lara Oliver Hirschbiegel Biography Drama History War
the sea inside,Belén Rueda,Lola Dueñas,Tamar Novas,Alejandro Amenábar,Biography Drama Romance,Belén Rueda Lola Dueñas Tamar Novas Alejandro Amenábar Biography Drama Romance
under the skin,Scarlett Johansson,Paul Brannigan,Alison Chand,Jonathan Glazer,Drama Horror Science Fiction Thriller,Scarlett Johansson Paul Brannigan Alison Chand Jonathan Glazer Drama Horror Science Fiction Thriller
"good morning, vietnam",Robin Williams,J.T. Walsh,Bruno Kirby,Barry Levinson,Biography Comedy Drama War,Robin Williams J.T. Walsh Bruno Kirby Barry Levinson Biography Comedy Drama War
the last godfather,Jason Mewes,Stephanie Danielson,Michael Rispoli,Hyung-rae Shim,Comedy,Jason Mewes Stephanie Danielson Michael Rispoli Hyung-rae Shim Comedy
justin bieber: never say never,Usher Raymond,Sean Kingston,Boys II Men,Jon M. Chu,Documentary Music,Usher Raymond Sean Kingston Boys II Men Jon M. Chu Documentary Music
black swan,Natalie Portman,Mila Kunis,Mark Margolis,Darren Aronofsky,Drama Thriller,Natalie Portman Mila Kunis Mark Margolis Darren Aronofsky Drama Thriller
the godfather: part ii,Robert De Niro,Al Pacino,Robert Duvall,Francis Ford Coppola,Crime Drama,Robert De Niro Al Pacino Robert Duvall Francis Ford Coppola Crime Drama
save the last dance,Sean Patrick Thomas,Terry Kinney,Fredro Starr,Thomas Carter,Drama Music Romance,Sean Patrick Thomas Terry Kinney Fredro Starr Thomas Carter Drama Music Romance
a nightmare on elm street 4: the dream master,Tuesday Knight,Rodney Eastman,Brooke Bundy,Renny Harlin,Fantasy Horror Thriller,Tuesday Knight Rodney Eastman Brooke Bundy Renny Harlin Fantasy Horror Thriller
miracles from heaven,Jennifer Garner,Brighton Sharbino,Martin Henderson,Patricia Riggen,Drama,Jennifer Garner Brighton Sharbino Martin Henderson Patricia Riggen Drama
"dude, where's my car?",Jennifer Garner,Mary Lynn Rajskub,Marla Sokoloff,Danny Leiner,Comedy Mystery,Jennifer Garner Mary Lynn Rajskub Marla Sokoloff Danny Leiner Comedy Mystery
young guns,Jack Palance,Patrick Wayne,Brian Keith,Christopher Cain,Action Crime Drama Thriller Western,Jack Palance Patrick Wayne Brian Keith Christopher Cain Action Crime Drama Thriller Western
st. vincent,Bill Murray,Naomi Watts,Reg E. Cathey,Theodore Melfi,Comedy Drama,Bill Murray Naomi Watts Reg E. Cathey Theodore Melfi Comedy Drama
about last night,Joe Lo Truglio,Regina Hall,Bryan Callen,Steve Pink,Comedy Romance,Joe Lo Truglio Regina Hall Bryan Callen Steve Pink Comedy Romance
10 things i hate about you,Joseph Gordon-Levitt,Heath Ledger,Andrew Keegan,Gil Junger,Comedy Drama Romance,Joseph Gordon-Levitt Heath Ledger Andrew Keegan Gil Junger Comedy Drama Romance
the new guy,Zooey Deschanel,Eddie Griffin,Gene Simmons,Ed Decter,Comedy,Zooey Deschanel Eddie Griffin Gene Simmons Ed Decter Comedy
loaded weapon 1,Jon Lovitz,Lin Shaye,Bill Nunn,Gene Quintano,Action Comedy Crime,Jon Lovitz Lin Shaye Bill Nunn Gene Quintano Action Comedy Crime
the shallows,Óscar Jaenada,Brett Cullen,Sedona Legge,Jaume Collet-Serra,Drama Horror Thriller,Óscar Jaenada Brett Cullen Sedona Legge Jaume Collet-Serra Drama Horror Thriller
the butterfly effect,Logan Lerman,Eric Stoltz,Cameron Bright,Eric Bress,Science Fiction Thriller,Logan Lerman Eric Stoltz Cameron Bright Eric Bress Science Fiction Thriller
snow day,Chris Elliott,Mark Webber,Jean Smart,Chris Koch,Adventure Comedy Family,Chris Elliott Mark Webber Jean Smart Chris Koch Adventure Comedy Family
this christmas,Mekhi Phifer,Chris Brown,Loretta Devine,Preston A. Whitmore II,Comedy Drama Romance,Mekhi Phifer Chris Brown Loretta Devine Preston A. Whitmore II Comedy Drama Romance
baby geniuses,Kathleen Turner,Dom DeLuise,Ruby Dee,Bob Clark,Comedy Crime Family Science Fiction,Kathleen Turner Dom DeLuise Ruby Dee Bob Clark Comedy Crime Family Science Fiction
the big hit,Bokeem Woodbine,Elliott Gould,Antonio Sabato Jr.,Kirk Wong,Action Comedy Crime Thriller,Bokeem Woodbine Elliott Gould Antonio Sabato Jr. Kirk Wong Action Comedy Crime Thriller
harriet the spy,Gregory Smith,Eartha Kitt,Charlotte Sullivan,Bronwen Hughes,Comedy Drama Family,Gregory Smith Eartha Kitt Charlotte Sullivan Bronwen Hughes Comedy Drama Family
child's play 2,Jenny Agutter,Beth Grant,Greg Germann,John Lafia,Fantasy Horror,Jenny Agutter Beth Grant Greg Germann John Lafia Fantasy Horror
no good deed,Leslie Bibb,Kate del Castillo,Henry Simmons,Sam Miller,Crime Thriller,Leslie Bibb Kate del Castillo Henry Simmons Sam Miller Crime Thriller
the mist,Toby Jones,Alexa Davalos,Jeffrey DeMunn,Frank Darabont,Horror,Toby Jones Alexa Davalos Jeffrey DeMunn Frank Darabont Horror
ex machina,Elina Alminas,Sonoya Mizuno,Corey Johnson,Alex Garland,Drama Mystery Science Fiction Thriller,Elina Alminas Sonoya Mizuno Corey Johnson Alex Garland Drama Mystery Science Fiction Thriller
being john malkovich,Willie Garson,Orson Bean,Mary Kay Place,Spike Jonze,Comedy Drama Fantasy,Willie Garson Orson Bean Mary Kay Place Spike Jonze Comedy Drama Fantasy
two can play that game,Mo'Nique,Vivica A. Fox,Tamala Jones,Mark Brown,Comedy Romance,Mo'Nique Vivica A. Fox Tamala Jones Mark Brown Comedy Romance
earth to echo,Teo Halm,Ella Wahlestedt,Jason Gray-Stanford,Dave Green,Adventure Family Science Fiction,Teo Halm Ella Wahlestedt Jason Gray-Stanford Dave Green Adventure Family Science Fiction
crazy/beautiful,Kirsten Dunst,Jay Hernandez,Rolando Molina,John Stockwell,Drama Romance,Kirsten Dunst Jay Hernandez Rolando Molina John Stockwell Drama Romance
letters from iwo jima,Yuki Matsuzaki,Kazunari Ninomiya,Shidô Nakamura,Clint Eastwood,Drama History War,Yuki Matsuzaki Kazunari Ninomiya Shidô Nakamura Clint Eastwood Drama History War
the astronaut farmer,J.K. Simmons,Virginia Madsen,Bruce Dern,Michael Polish,Adventure Drama Science Fiction,J.K. Simmons Virginia Madsen Bruce Dern Michael Polish Adventure Drama Science Fiction
woo,LL Cool J,Jada Pinkett Smith,Dave Chappelle,Daisy von Scherler Mayer,Comedy Romance,LL Cool J Jada Pinkett Smith Dave Chappelle Daisy von Scherler Mayer Comedy Romance
room,Joan Allen,Jacob Tremblay,Cas Anvar,Lenny Abrahamson,Drama,Joan Allen Jacob Tremblay Cas Anvar Lenny Abrahamson Drama
dirty work,Don Rickles,Jack Warden,Traylor Howard,Bob Saget,Comedy,Don Rickles Jack Warden Traylor Howard Bob Saget Comedy
serial mom,Kathleen Turner,Sam Waterston,Traci Lords,John Waters,Comedy Crime Thriller,Kathleen Turner Sam Waterston Traci Lords John Waters Comedy Crime Thriller
dick,Ryan Reynolds,Will Ferrell,Kirsten Dunst,Andrew Fleming,Comedy,Ryan Reynolds Will Ferrell Kirsten Dunst Andrew Fleming Comedy
del 1 - män som hatar kvinnor,Michael Nyqvist,David Dencik,Lena Endre,Niels Arden Oplev,Action Crime Mystery Thriller,Michael Nyqvist David Dencik Lena Endre Niels Arden Oplev Action Crime Mystery Thriller
light it up,Rosario Dawson,Vanessa Williams,Robert Ri'chard,Craig Bolotin,Drama Thriller,Rosario Dawson Vanessa Williams Robert Ri'chard Craig Bolotin Drama Thriller
54,Salma Hayek,Ellen Albertini Dow,Sela Ward,Mark Christopher,Drama Music,Salma Hayek Ellen Albertini Dow Sela Ward Mark Christopher Drama Music
bubble boy,Jake Gyllenhaal,Geoffrey Arend,Marley Shelton,Blair Hayes,Adventure Comedy Romance Science Fiction,Jake Gyllenhaal Geoffrey Arend Marley Shelton Blair Hayes Adventure Comedy Romance Science Fiction
birthday girl,Mark Gatiss,Mathieu Kassovitz,Ben Chaplin,Jez Butterworth,Comedy Crime Thriller,Mark Gatiss Mathieu Kassovitz Ben Chaplin Jez Butterworth Comedy Crime Thriller
21 & over,Justin Chon,Josie Loren,Sarah Wright,Jon Lucas,Comedy,Justin Chon Josie Loren Sarah Wright Jon Lucas Comedy
"paris, je t'aime",Steve Buscemi,Miranda Richardson,Catalina Sandino Moreno,Olivier Assayas,Comedy Drama Romance,Steve Buscemi Miranda Richardson Catalina Sandino Moreno Olivier Assayas Comedy Drama Romance
resurrecting the champ,Harry Lennix,Kathryn Morris,Peter Coyote,Rod Lurie,Drama Sport,Harry Lennix Kathryn Morris Peter Coyote Rod Lurie Drama Sport
admission,Tina Fey,Sarita Choudhury,Christopher Evan Welch,Paul Weitz,Comedy Drama Romance,Tina Fey Sarita Choudhury Christopher Evan Welch Paul Weitz Comedy Drama Romance
the widow of saint-pierre,Emir Kusturica,Daniel Auteuil,Yves Jacques,Patrice Leconte,Drama Romance,Emir Kusturica Daniel Auteuil Yves Jacques Patrice Leconte Drama Romance
chloe,Liam Neeson,Meghan Heffern,Natalie Lisinska,Atom Egoyan,Drama Mystery Romance Thriller,Liam Neeson Meghan Heffern Natalie Lisinska Atom Egoyan Drama Mystery Romance Thriller
faithful,Chazz Palminteri,Ryan O'Neal,Paul Mazursky,Paul Mazursky,Comedy Crime Drama,Chazz Palminteri Ryan O'Neal Paul Mazursky Paul Mazursky Comedy Crime Drama
find me guilty,Peter Dinklage,Vin Diesel,Alex Rocco,Sidney Lumet,Biography Comedy Crime Drama,Peter Dinklage Vin Diesel Alex Rocco Sidney Lumet Biography Comedy Crime Drama
the perks of being a wallflower,Logan Lerman,Ezra Miller,Kate Walsh,Stephen Chbosky,Drama Romance,Logan Lerman Ezra Miller Kate Walsh Stephen Chbosky Drama Romance
excessive force,Burt Young,Ian Gomez,Thomas Ian Griffith,Jon Hess,Action,Burt Young Ian Gomez Thomas Ian Griffith Jon Hess Action
infamous,Toby Jones,Isabella Rossellini,Hope Davis,Douglas McGrath,Biography Crime Drama,Toby Jones Isabella Rossellini Hope Davis Douglas McGrath Biography Crime Drama
the claim,Milla Jovovich,Sarah Polley,Shirley Henderson,Michael Winterbottom,Drama Romance Western,Milla Jovovich Sarah Polley Shirley Henderson Michael Winterbottom Drama Romance Western
the vatican tapes,Djimon Hounsou,Alison Lohman,Dougray Scott,Mark Neveldine,Horror Thriller,Djimon Hounsou Alison Lohman Dougray Scott Mark Neveldine Horror Thriller
attack the block,John Boyega,Luke Treadaway,Jodie Whittaker,Joe Cornish,Action Comedy Science Fiction Thriller,John Boyega Luke Treadaway Jodie Whittaker Joe Cornish Action Comedy Science Fiction Thriller
in the land of blood and honey,Jelena Jovanova,Nikola Djuricko,Branko Djuric,Angelina Jolie Pitt,Drama Romance War,Jelena Jovanova Nikola Djuricko Branko Djuric Angelina Jolie Pitt Drama Romance War
the call,Michael Imperioli,Tara Platt,Roma Maffia,Brad Anderson,Crime Thriller,Michael Imperioli Tara Platt Roma Maffia Brad Anderson Crime Thriller
operation chromite,Liam Neeson,Dean Dawson,Jung-jae Lee,John H. Lee,Action Drama History War,Liam Neeson Dean Dawson Jung-jae Lee John H. Lee Action Drama History War
the crocodile hunter: collision course,Steve Irwin,Aden Young,Steve Bastoni,John Stainton,Action Adventure Comedy Family,Steve Irwin Aden Young Steve Bastoni John Stainton Action Adventure Comedy Family
i love you phillip morris,Dameon Clarke,Louis Herthum,Annie Golden,Glenn Ficarra,Biography Comedy Crime Drama Romance,Dameon Clarke Louis Herthum Annie Golden Glenn Ficarra Biography Comedy Crime Drama Romance
quest for fire,Rae Dawn Chong,Everett McGill,Gary Schwartz,Jean-Jacques Annaud,Adventure Drama History,Rae Dawn Chong Everett McGill Gary Schwartz Jean-Jacques Annaud Adventure Drama History
antwone fisher,Denzel Washington,Kevin Connolly,Derek Luke,Denzel Washington,Biography Drama,Denzel Washington Kevin Connolly Derek Luke Denzel Washington Biography Drama
the emperor's club,Gabriel Millman,Embeth Davidtz,Rob Morrow,Michael Hoffman,Drama,Gabriel Millman Embeth Davidtz Rob Morrow Michael Hoffman Drama
true romance,Brad Pitt,Gary Oldman,Michael Rapaport,Tony Scott,Action Crime Drama Romance Thriller,Brad Pitt Gary Oldman Michael Rapaport Tony Scott Action Crime Drama Romance Thriller
womb,Eva Green,Matt Smith,Hannah Murray,Benedek Fliegauf,Drama Romance Science Fiction,Eva Green Matt Smith Hannah Murray Benedek Fliegauf Drama Romance Science Fiction
glengarry glen ross,Kevin Spacey,Al Pacino,Jude Ciccolella,James Foley,Crime Drama Mystery,Kevin Spacey Al Pacino Jude Ciccolella James Foley Crime Drama Mystery
the killer inside me,Liam Aiken,Ned Beatty,Jay R. Ferguson,Michael Winterbottom,Crime Drama Thriller,Liam Aiken Ned Beatty Jay R. Ferguson Michael Winterbottom Crime Drama Thriller
cat people,Ed Begley Jr.,Ruby Dee,John Heard,Paul Schrader,Fantasy Horror Thriller,Ed Begley Jr. Ruby Dee John Heard Paul Schrader Fantasy Horror Thriller
sorority row,Julian Morris,Margo Harshman,Rumer Willis,Stewart Hendler,Horror Mystery,Julian Morris Margo Harshman Rumer Willis Stewart Hendler Horror Mystery
the prisoner of zenda,David Niven,Mary Astor,Ronald Colman,John Cromwell,Adventure Drama Romance,David Niven Mary Astor Ronald Colman John Cromwell Adventure Drama Romance
lars and the real girl,Ryan Gosling,Kelli Garner,Paul Schneider,Craig Gillespie,Comedy Drama Romance,Ryan Gosling Kelli Garner Paul Schneider Craig Gillespie Comedy Drama Romance
the boy in the striped pajamas,Richard Johnson,Sheila Hancock,Cara Horgan,Mark Herman,Drama War,Richard Johnson Sheila Hancock Cara Horgan Mark Herman Drama War
dancer in the dark,Catherine Deneuve,Udo Kier,Björk,Lars von Trier,Crime Drama Musical,Catherine Deneuve Udo Kier Björk Lars von Trier Crime Drama Musical
oscar and lucinda,Tom Wilkinson,Richard Roxburgh,Clive Russell,Gillian Armstrong,Drama Romance,Tom Wilkinson Richard Roxburgh Clive Russell Gillian Armstrong Drama Romance
the funeral,Isabella Rossellini,Vincent Gallo,Gretchen Mol,Abel Ferrara,Crime Drama,Isabella Rossellini Vincent Gallo Gretchen Mol Abel Ferrara Crime Drama
solitary man,Jenna Fischer,David Costabile,Richard Schiff,Brian Koppelman,Comedy Drama Romance,Jenna Fischer David Costabile Richard Schiff Brian Koppelman Comedy Drama Romance
machete,Robert De Niro,Don Johnson,Cheech Marin,Ethan Maniquis,Action Crime Thriller,Robert De Niro Don Johnson Cheech Marin Ethan Maniquis Action Crime Thriller
casino jack,Kevin Spacey,Eric Schweig,Christian Campbell,George Hickenlooper,Biography Comedy Crime Drama,Kevin Spacey Eric Schweig Christian Campbell George Hickenlooper Biography Comedy Crime Drama
the land before time,Judith Barsi,Gabriel Damon,Bill Erwin,Don Bluth,Adventure Animation Family,Judith Barsi Gabriel Damon Bill Erwin Don Bluth Adventure Animation Family
tae guk gi: the brotherhood of war,Min-sik Choi,Bin Won,Dong-gun Jang,Je-kyu Kang,Action Drama War,Min-sik Choi Bin Won Dong-gun Jang Je-kyu Kang Action Drama War
the perfect game,Clifton Collins Jr.,Cheech Marin,Bruce McGill,William Dear,Comedy Drama Family Sport,Clifton Collins Jr. Cheech Marin Bruce McGill William Dear Comedy Drama Family Sport
the exorcist,Ellen Burstyn,Linda Blair,Lee J. Cobb,William Friedkin,Horror,Ellen Burstyn Linda Blair Lee J. Cobb William Friedkin Horror
jaws,Roy Scheider,Robert Shaw,Murray Hamilton,Steven Spielberg,Adventure Drama Thriller,Roy Scheider Robert Shaw Murray Hamilton Steven Spielberg Adventure Drama Thriller
american pie,Alyson Hannigan,Shannon Elizabeth,Natasha Lyonne,Paul Weitz,Comedy,Alyson Hannigan Shannon Elizabeth Natasha Lyonne Paul Weitz Comedy
ernest & celestine,Mackenzie Foy,Megan Mullally,Lambert Wilson,Stéphane Aubier,Animation Comedy Crime Drama Family,Mackenzie Foy Megan Mullally Lambert Wilson Stéphane Aubier Animation Comedy Crime Drama Family
the golden child,Victor Wong,Randall 'Tex' Cobb,Charlotte Lewis,Michael Ritchie,Action Adventure Comedy Fantasy Mystery,Victor Wong Randall 'Tex' Cobb Charlotte Lewis Michael Ritchie Action Adventure Comedy Fantasy Mystery
think like a man,Chris Brown,Romany Malco,Regina Hall,Tim Story,Comedy Romance,Chris Brown Romany Malco Regina Hall Tim Story Comedy Romance
barbershop,Sean Patrick Thomas,Jason George,Cedric the Entertainer,Tim Story,Comedy Drama,Sean Patrick Thomas Jason George Cedric the Entertainer Tim Story Comedy Drama
star trek ii: the wrath of khan,Leonard Nimoy,Kirstie Alley,Nichelle Nichols,Nicholas Meyer,Action Adventure Science Fiction,Leonard Nimoy Kirstie Alley Nichelle Nichols Nicholas Meyer Action Adventure Science Fiction
ace ventura: pet detective,Sean Young,Udo Kier,David Margulies,Tom Shadyac,Comedy,Sean Young Udo Kier David Margulies Tom Shadyac Comedy
wargames,Matthew Broderick,Barry Corbin,Ally Sheedy,John Badham,Science Fiction Thriller,Matthew Broderick Barry Corbin Ally Sheedy John Badham Science Fiction Thriller
witness,Harrison Ford,Viggo Mortensen,Lukas Haas,Peter Weir,Crime Drama Romance Thriller,Harrison Ford Viggo Mortensen Lukas Haas Peter Weir Crime Drama Romance Thriller
act of valor,Alex Veadov,Jason Cottle,Rorke Denver,Mike McCoy,Action Adventure Drama Thriller War,Alex Veadov Jason Cottle Rorke Denver Mike McCoy Action Adventure Drama Thriller War
step up,Channing Tatum,Alyson Stoner,Josh Henderson,Anne Fletcher,Crime Drama Music Romance,Channing Tatum Alyson Stoner Josh Henderson Anne Fletcher Crime Drama Music Romance
beavis and butt-head do america,Bruce Willis,Demi Moore,John Doman,Mike Judge,Adventure Animation Comedy Crime,Bruce Willis Demi Moore John Doman Mike Judge Adventure Animation Comedy Crime
jackie brown,Robert De Niro,Sid Haig,Robert Forster,Quentin Tarantino,Crime Thriller,Robert De Niro Sid Haig Robert Forster Quentin Tarantino Crime Thriller
harold & kumar escape from guantanamo bay,Danneel Ackles,Eric Winter,Beverly D'Angelo,Jon Hurwitz,Adventure Comedy,Danneel Ackles Eric Winter Beverly D'Angelo Jon Hurwitz Adventure Comedy
chronicle,Michael Kelly,Alex Russell,Ashley Hinshaw,Josh Trank,Drama Science Fiction Thriller,Michael Kelly Alex Russell Ashley Hinshaw Josh Trank Drama Science Fiction Thriller
yentl,Miriam Margolyes,Amy Irving,Steven Hill,Barbra Streisand,Drama Musical Romance,Miriam Margolyes Amy Irving Steven Hill Barbra Streisand Drama Musical Romance
time bandits,Shelley Duvall,Michael Palin,Kenny Baker,Terry Gilliam,Adventure Comedy Fantasy Science Fiction,Shelley Duvall Michael Palin Kenny Baker Terry Gilliam Adventure Comedy Fantasy Science Fiction
crossroads,Britney Spears,Katherine Boecher,Dave Allen,Tamra Davis,Comedy Drama,Britney Spears Katherine Boecher Dave Allen Tamra Davis Comedy Drama
project x,Dax Flame,Kirby Bliss Blanton,Oliver Cooper,Nima Nourizadeh,Comedy Crime,Dax Flame Kirby Bliss Blanton Oliver Cooper Nima Nourizadeh Comedy Crime
patton,George C. Scott,Karl Malden,Bill Hickman,Franklin J. Schaffner,Biography Drama War,George C. Scott Karl Malden Bill Hickman Franklin J. Schaffner Biography Drama War
one hour photo,Robin Williams,Gary Cole,Connie Nielsen,Mark Romanek,Drama Thriller,Robin Williams Gary Cole Connie Nielsen Mark Romanek Drama Thriller
quarantine,Andrew Fiscella,Jay Hernandez,Dania Ramirez,John Erick Dowdle,Horror Science Fiction Thriller,Andrew Fiscella Jay Hernandez Dania Ramirez John Erick Dowdle Horror Science Fiction Thriller
the eye,Chloë Grace Moretz,Alessandro Nivola,Obba Babatundé,David Moreau,Horror Mystery,Chloë Grace Moretz Alessandro Nivola Obba Babatundé David Moreau Horror Mystery
johnson family vacation,Vanessa Williams,Shannon Elizabeth,Shad Moss,Christopher Erskin,Comedy,Vanessa Williams Shannon Elizabeth Shad Moss Christopher Erskin Comedy
how high,Hector Elizondo,Fred Willard,T.J. Thyne,Jesse Dylan,Comedy Fantasy,Hector Elizondo Fred Willard T.J. Thyne Jesse Dylan Comedy Fantasy
the muppet christmas carol,Steven Mackintosh,Jerry Nelson,Steve Whitmire,Brian Henson,Comedy Drama Family Fantasy Musical,Steven Mackintosh Jerry Nelson Steve Whitmire Brian Henson Comedy Drama Family Fantasy Musical
frida,Salma Hayek,Roger Rees,Valeria Golino,Julie Taymor,Biography Drama Romance,Salma Hayek Roger Rees Valeria Golino Julie Taymor Biography Drama Romance
katy perry: part of me,Lexie Contursi,Ashley Ashida Dixon,Anthony Burrell,Dan Cutforth,Documentary Music,Lexie Contursi Ashley Ashida Dixon Anthony Burrell Dan Cutforth Documentary Music
the fault in our stars,Shailene Woodley,Sam Trammell,Nat Wolff,Josh Boone,Drama Romance,Shailene Woodley Sam Trammell Nat Wolff Josh Boone Drama Romance
rounders,Matt Damon,Martin Landau,Gretchen Mol,John Dahl,Crime Drama,Matt Damon Martin Landau Gretchen Mol John Dahl Crime Drama
top five,Rosario Dawson,Romany Malco,J.B. Smoove,Chris Rock,Comedy Romance,Rosario Dawson Romany Malco J.B. Smoove Chris Rock Comedy Romance
prophecy,Talia Shire,Richard Dysart,Robert Foxworth,John Frankenheimer,Horror Science Fiction,Talia Shire Richard Dysart Robert Foxworth John Frankenheimer Horror Science Fiction
stir of echoes,Illeana Douglas,Kathryn Erbe,Lusia Strus,David Koepp,Horror Mystery Thriller,Illeana Douglas Kathryn Erbe Lusia Strus David Koepp Horror Mystery Thriller
spartacus: war of the damned,Peter Mensah,Kelvin Taylor,Viva Bianca,unknown,Action Adventure Biography Drama History,Peter Mensah Kelvin Taylor Viva Bianca unknown Action Adventure Biography Drama History
philomena,Steve Coogan,Mare Winningham,Peter Hermann,Stephen Frears,Biography Drama,Steve Coogan Mare Winningham Peter Hermann Stephen Frears Biography Drama
the upside of anger,Alicia Witt,Erika Christensen,Joan Allen,Mike Binder,Comedy Drama,Alicia Witt Erika Christensen Joan Allen Mike Binder Comedy Drama
the boys from brazil,Laurence Olivier,Anne Meara,Steve Guttenberg,Franklin J. Schaffner,Drama Thriller,Laurence Olivier Anne Meara Steve Guttenberg Franklin J. Schaffner Drama Thriller
aquamarine,Tammin Sursok,Joanna 'JoJo' Levesque,Dichen Lachman,Elizabeth Allen Rosenbaum,Comedy Family Fantasy Romance,Tammin Sursok Joanna 'JoJo' Levesque Dichen Lachman Elizabeth Allen Rosenbaum Comedy Family Fantasy Romance
paper towns,Nat Wolff,Cara Delevingne,Meg Crosbie,Jake Schreier,Drama Mystery Romance,Nat Wolff Cara Delevingne Meg Crosbie Jake Schreier Drama Mystery Romance
my baby's daddy,Michael Imperioli,Marsha Thomason,Bai Ling,Cheryl Dunye,Comedy,Michael Imperioli Marsha Thomason Bai Ling Cheryl Dunye Comedy
nebraska,Devin Ratray,Bruce Dern,Will Forte,Alexander Payne,Adventure Comedy Drama,Devin Ratray Bruce Dern Will Forte Alexander Payne Adventure Comedy Drama
